99.77778 - 671,604 - Button.right
99.91764 - 674,601 - Button.right
100.02576 - 592,584 - Button.right
100.15409 - 578,575 - Button.right
100.25089 - 549,561 - Button.right
100.37577 - 549,560 - Button.right
100.47505 - 552,532 - Button.right
100.59590 - 551,530 - Button.right
100.71110 - 567,475 - Button.right
100.84248 - 569,462 - Button.right
100.95205 - 538,461 - Button.right
101.09681 - 289,450 - Button.right
101.17051 - 283,451 - Button.right
101.31556 - 221,484 - Button.right
101.41453 - 197,501 - Button.right
101.54991 - 196,501 - Button.right
101.65997 - 196,501 - Button.right
101.79615 - 195,501 - Button.right
101.91620 - 172,445 - Button.right
102.03682 - 170,431 - Button.right
102.14483 - 187,360 - Button.right
102.27079 - 207,329 - Button.right
102.37015 - 368,243 - Button.right
102.50547 - 460,231 - Button.right
102.59317 - 518,223 - Button.right
102.71211 - 528,222 - Button.right
102.80579 - 595,219 - Button.right
102.92898 - 601,220 - Button.right
103.07065 - 549,233 - Button.right
103.17990 - 475,252 - Button.right
103.29914 - 541,249 - Button.right
103.40577 - 552,246 - Button.right
103.53414 - 742,245 - Button.right
103.64881 - 753,250 - Button.right
103.77471 - 800,266 - Button.right
103.90728 - 802,298 - Button.right
103.98817 - 797,399 - Button.right
104.12801 - 791,503 - Button.right
104.21214 - 791,514 - Button.right
104.34910 - 802,532 - Button.right
104.45373 - 850,533 - Button.right
104.56398 - 852,540 - Button.right
104.67390 - 863,564 - Button.right
104.79422 - 862,590 - Button.right
104.91561 - 957,648 - Button.right
105.00083 - 999,652 - Button.right
105.11377 - 1270,552 - Button.right
105.21924 - 1261,569 - Button.right
105.31979 - 1280,580 - Button.right
105.45101 - 1289,620 - Button.right
106.20068 - 1266,781 - Button.right
106.28278 - 1250,798 - Button.right
106.39372 - 1209,814 - Button.right
106.50521 - 1177,842 - Button.right
106.63691 - 1170,851 - Button.right
106.75086 - 1169,851 - Button.right
107.05520 - 1263,852 - Button.right
107.15984 - 1264,852 - Button.right
107.29380 - 1320,833 - Button.right
107.39550 - 1320,832 - Button.right
107.51399 - 1370,776 - Button.right
107.61765 - 1372,774 - Button.right
108.22397 - 1472,761 - Button.right
108.30621 - 1473,771 - Button.right
108.41629 - 1496,788 - Button.right
108.53675 - 1497,788 - Button.right
108.67528 - 1476,805 - Button.right
108.80083 - 1445,828 - Button.right
109.16983 - 1400,667 - Button.right
109.27460 - 1378,680 - Button.right
109.40171 - 1474,785 - Button.right
109.51181 - 1505,812 - Button.right
109.66135 - 1384,655 - Button.right
109.78328 - 1328,606 - Button.right
