284.99726 - 997,490 - Button.right
285.12307 - 812,500 - Button.right
285.19536 - 817,501 - Button.right
285.30682 - 853,496 - Button.right
285.41405 - 859,497 - Button.right
286.50641 - 995,669 - Button.right
286.59059 - 996,669 - Button.right
286.68994 - 1004,661 - Button.right
286.79390 - 1004,656 - Button.right
291.19079 - 1122,486 - Button.right
291.28223 - 1124,486 - Button.right
291.37904 - 1126,486 - Button.right
291.47440 - 1142,479 - Button.right
292.53829 - 1101,580 - Button.right
292.65238 - 901,680 - Button.right
292.73049 - 751,756 - Button.right
292.85375 - 686,809 - Button.right
306.92374 - 583,832 - Button.right
307.00928 - 548,859 - Button.right
307.11143 - 546,863 - Button.right
307.21381 - 546,861 - Button.right
307.31130 - 546,861 - Button.right
307.44893 - 546,861 - Button.right
307.75933 - 459,985 - Button.right
307.80029 - 121,1279 - Button.right
308.86031 - 810,811 - Button.right
308.96643 - 816,811 - Button.right
309.11157 - 823,813 - Button.right
309.22930 - 823,813 - Button.right
309.68098 - 830,631 - Button.right
309.77105 - 830,631 - Button.right
309.88704 - 806,631 - Button.right
309.98902 - 766,630 - Button.right
310.09638 - 750,628 - Button.right
310.20118 - 724,624 - Button.right
310.32655 - 716,616 - Button.right
310.43684 - 716,615 - Button.right
310.56815 - 715,610 - Button.right
310.67366 - 715,597 - Button.right
311.06259 - 772,561 - Button.right
311.15611 - 775,560 - Button.right
311.28056 - 776,561 - Button.right
311.38842 - 786,563 - Button.right
311.51090 - 832,544 - Button.right
311.61331 - 835,544 - Button.right
311.76055 - 836,545 - Button.right
311.84620 - 840,544 - Button.right
312.21484 - 845,592 - Button.right
312.32008 - 792,699 - Button.right
312.41315 - 705,717 - Button.right
312.54972 - 605,722 - Button.right
312.61173 - 603,728 - Button.right
312.75674 - 607,771 - Button.right
313.10466 - 820,576 - Button.right
313.20767 - 819,574 - Button.right
313.30290 - 794,558 - Button.right
313.40465 - 705,582 - Button.right
313.51364 - 700,579 - Button.right
313.59838 - 700,579 - Button.right
313.71359 - 833,525 - Button.right
313.83219 - 841,528 - Button.right
314.98661 - 943,544 - Button.right
315.08541 - 878,566 - Button.right
315.18284 - 878,567 - Button.right
315.30084 - 883,578 - Button.right
315.39963 - 801,589 - Button.right
315.51496 - 760,599 - Button.right
315.66616 - 760,597 - Button.right
315.73388 - 760,596 - Button.right
315.85350 - 759,544 - Button.right
315.96008 - 760,544 - Button.right
316.09971 - 889,510 - Button.right
316.21059 - 889,509 - Button.right
316.32898 - 889,509 - Button.right
316.42963 - 885,510 - Button.right
316.91485 - 753,545 - Button.right
316.98990 - 752,548 - Button.right
317.52789 - 916,494 - Button.right
317.60543 - 868,507 - Button.right
319.20546 - 841,542 - Button.right
319.30004 - 829,580 - Button.right
319.42099 - 752,638 - Button.right
319.51529 - 739,652 - Button.right
320.00260 - 727,474 - Button.right
320.08595 - 832,432 - Button.right
320.20043 - 868,444 - Button.right
320.28914 - 880,448 - Button.right
320.38900 - 940,457 - Button.right
320.48374 - 946,458 - Button.right
320.60050 - 955,461 - Button.right
320.69449 - 934,483 - Button.right
324.88920 - 583,687 - Button.right
324.98929 - 583,687 - Button.right
325.08145 - 575,698 - Button.right
325.20145 - 554,709 - Button.right
325.30919 - 541,717 - Button.right
325.41888 - 535,719 - Button.right
325.70046 - 441,716 - Button.right
325.81707 - 431,718 - Button.right
325.93050 - 422,723 - Button.right
326.04983 - 418,725 - Button.right
328.17937 - 540,735 - Button.right
328.25914 - 544,734 - Button.right
328.37605 - 560,732 - Button.right
328.46123 - 568,731 - Button.right
328.58759 - 568,731 - Button.right
328.67915 - 568,731 - Button.right
329.13614 - 596,695 - Button.right
329.21672 - 596,695 - Button.right
330.93244 - 673,676 - Button.right
331.00688 - 677,676 - Button.right
331.10721 - 679,675 - Button.right
331.23144 - 679,674 - Button.right
340.38746 - 799,516 - Button.right
340.47648 - 760,485 - Button.right
340.80391 - 637,593 - Button.right
340.91952 - 636,594 - Button.right
341.01958 - 635,600 - Button.right
341.13960 - 627,610 - Button.right
341.22273 - 626,610 - Button.right
341.33393 - 626,611 - Button.right
341.45882 - 625,614 - Button.right
341.56417 - 625,615 - Button.right
343.49645 - 812,480 - Button.right
343.61368 - 818,486 - Button.right
343.74436 - 824,493 - Button.right
343.86907 - 830,521 - Button.right
343.95877 - 828,529 - Button.right
344.05623 - 824,539 - Button.right
344.14083 - 823,541 - Button.right
344.24641 - 818,549 - Button.right
346.90097 - 617,645 - Button.right
347.01358 - 560,662 - Button.right
347.09774 - 519,690 - Button.right
347.20449 - 498,703 - Button.right
347.29497 - 498,703 - Button.right
347.42088 - 498,703 - Button.right
348.40270 - 1223,388 - Button.right
348.48833 - 1165,443 - Button.right
348.58679 - 1167,451 - Button.right
348.66508 - 1128,476 - Button.right
348.75617 - 1156,460 - Button.right
348.85638 - 1123,471 - Button.right
348.94968 - 1123,471 - Button.right
349.04060 - 1123,470 - Button.right
349.33686 - 753,568 - Button.right
349.40120 - 666,596 - Button.right
349.50002 - 589,632 - Button.right
349.60942 - 602,636 - Button.right
349.71171 - 624,651 - Button.right
349.83209 - 638,667 - Button.right
349.94962 - 732,701 - Button.right
350.06863 - 801,755 - Button.right
350.18130 - 1083,714 - Button.right
350.29977 - 1222,664 - Button.right
350.41680 - 1210,708 - Button.right
350.50749 - 1212,692 - Button.right
350.60643 - 1208,568 - Button.right
350.70649 - 1207,622 - Button.right
350.81720 - 1190,568 - Button.right
350.91028 - 1167,504 - Button.right
