143.79155 - 1539,122 - Button.right
143.89885 - 1545,115 - Button.right
144.01156 - 1502,29 - Button.right
144.12749 - 1501,38 - Button.right
144.73181 - 1314,569 - Button.right
144.84542 - 1326,617 - Button.right
144.94480 - 1389,620 - Button.right
145.05347 - 1396,614 - Button.right
145.19736 - 1627,282 - Button.right
145.30779 - 1646,251 - Button.right
145.39729 - 1665,251 - Button.right
145.50791 - 1552,295 - Button.right
145.61169 - 1318,373 - Button.right
145.72048 - 1234,434 - Button.right
145.81606 - 1252,499 - Button.right
145.93914 - 1275,598 - Button.right
146.02359 - 1329,624 - Button.right
146.13416 - 1341,628 - Button.right
146.22357 - 1369,671 - Button.right
146.34070 - 1368,672 - Button.right
146.43629 - 1336,667 - Button.right
146.56674 - 1273,701 - Button.right
146.84366 - 1478,444 - Button.right
146.94611 - 1479,507 - Button.right
147.06958 - 1508,472 - Button.right
147.18658 - 1512,459 - Button.right
147.29501 - 1615,429 - Button.right
147.41675 - 1627,422 - Button.right
147.50712 - 1643,421 - Button.right
147.63150 - 1626,547 - Button.right
147.73878 - 1516,588 - Button.right
147.84727 - 1448,630 - Button.right
147.94556 - 1429,598 - Button.right
148.06969 - 1407,609 - Button.right
148.15970 - 1385,615 - Button.right
148.27503 - 1402,620 - Button.right
148.36873 - 1402,620 - Button.right
148.48451 - 1406,621 - Button.right
148.60913 - 1412,625 - Button.right
148.74946 - 1391,638 - Button.right
148.85647 - 1382,624 - Button.right
148.98152 - 1382,622 - Button.right
149.10012 - 1379,619 - Button.right
149.20577 - 1377,612 - Button.right
149.32851 - 1444,570 - Button.right
149.43099 - 1472,475 - Button.right
149.55614 - 1477,281 - Button.right
149.66032 - 1483,271 - Button.right
149.76291 - 1501,228 - Button.right
149.87234 - 1505,229 - Button.right
149.97854 - 1508,240 - Button.right
150.08178 - 1391,306 - Button.right
150.22360 - 1692,218 - Button.right
150.34344 - 1639,347 - Button.right
150.42629 - 1677,456 - Button.right
150.55358 - 1674,650 - Button.right
150.63651 - 1653,725 - Button.right
150.74256 - 1625,789 - Button.right
150.83808 - 1592,814 - Button.right
150.94901 - 1575,831 - Button.right
151.06403 - 1557,840 - Button.right
151.17051 - 1495,842 - Button.right
151.25753 - 1342,794 - Button.right
151.38464 - 1340,809 - Button.right
151.45575 - 1346,817 - Button.right
151.58255 - 1368,841 - Button.right
151.67520 - 1360,845 - Button.right
151.80666 - 1373,908 - Button.right
152.01972 - 1769,533 - Button.right
152.13603 - 1784,533 - Button.right
152.22682 - 1793,459 - Button.right
152.34263 - 1794,454 - Button.right
152.44948 - 1764,436 - Button.right
152.59557 - 1748,488 - Button.right
152.72380 - 1692,546 - Button.right
152.84524 - 1335,719 - Button.right
152.95166 - 1310,676 - Button.right
153.06252 - 1196,717 - Button.right
153.16811 - 1242,681 - Button.right
153.28168 - 1257,678 - Button.right
153.36064 - 1271,674 - Button.right
153.48874 - 1287,696 - Button.right
153.59028 - 1321,689 - Button.right
153.71413 - 1323,687 - Button.right
153.83625 - 1358,632 - Button.right
153.95478 - 1338,640 - Button.right
154.04409 - 1315,645 - Button.right
154.16281 - 1313,646 - Button.right
154.53013 - 1465,700 - Button.right
154.69270 - 1438,772 - Button.right
154.76138 - 1447,803 - Button.right
154.88425 - 1448,804 - Button.right
154.98264 - 1424,781 - Button.right
155.11764 - 1417,797 - Button.right
155.19794 - 1414,807 - Button.right
155.34906 - 1419,809 - Button.right
155.41234 - 1418,811 - Button.right
155.56028 - 1425,813 - Button.right
156.74416 - 1357,602 - Button.right
156.86824 - 1371,594 - Button.right
157.05170 - 1100,661 - Button.right
157.14369 - 1045,696 - Button.right
157.24635 - 1020,666 - Button.right
157.36291 - 960,712 - Button.right
157.46501 - 898,779 - Button.right
157.60733 - 866,798 - Button.right
157.67916 - 858,810 - Button.right
157.82175 - 840,877 - Button.right
159.97181 - 1206,402 - Button.right
160.06238 - 1185,400 - Button.right
160.15099 - 1181,402 - Button.right
160.25566 - 1165,414 - Button.right
160.35862 - 1211,332 - Button.right
160.46715 - 1216,317 - Button.right
160.55905 - 1251,305 - Button.right
160.70861 - 1247,337 - Button.right
160.80607 - 1242,464 - Button.right
160.88656 - 1220,484 - Button.right
161.20879 - 1129,352 - Button.right
161.30643 - 1106,349 - Button.right
161.40818 - 1098,352 - Button.right
161.53961 - 868,679 - Button.right
161.62072 - 812,801 - Button.right
161.73394 - 786,841 - Button.right
161.80957 - 746,874 - Button.right
161.93297 - 720,880 - Button.right
162.02178 - 700,877 - Button.right
162.13547 - 642,891 - Button.right
162.20638 - 637,891 - Button.right
162.30534 - 645,874 - Button.right
162.37689 - 655,850 - Button.right
162.48875 - 663,882 - Button.right
162.56269 - 696,885 - Button.right
162.68137 - 704,887 - Button.right
162.73052 - 694,867 - Button.right
162.86283 - 700,866 - Button.right
162.91198 - 696,845 - Button.right
163.03878 - 694,861 - Button.right
163.25526 - 1113,347 - Button.right
163.37045 - 1139,306 - Button.right
163.48533 - 1254,193 - Button.right
163.55940 - 1258,188 - Button.right
164.02570 - 1261,261 - Button.right
164.14247 - 1256,257 - Button.right
164.21954 - 1202,198 - Button.right
164.35491 - 1120,188 - Button.right
164.49083 - 1068,192 - Button.right
164.61992 - 954,204 - Button.right
165.07542 - 1099,288 - Button.right
165.18909 - 1128,332 - Button.right
165.29665 - 1195,343 - Button.right
165.40125 - 1211,340 - Button.right
165.54361 - 1216,351 - Button.right
165.60761 - 1204,361 - Button.right
166.53679 - 1152,645 - Button.right
166.63701 - 1033,763 - Button.right
166.73115 - 982,801 - Button.right
166.83670 - 841,851 - Button.right
166.93152 - 793,872 - Button.right
167.04007 - 767,875 - Button.right
167.12493 - 694,826 - Button.right
167.24106 - 695,820 - Button.right
167.32288 - 695,820 - Button.right
167.42849 - 693,818 - Button.right
167.50961 - 692,746 - Button.right
167.64368 - 686,768 - Button.right
167.71852 - 698,771 - Button.right
167.82978 - 706,784 - Button.right
167.90888 - 756,809 - Button.right
168.03377 - 766,815 - Button.right
168.28516 - 1258,129 - Button.right
168.39984 - 1267,140 - Button.right
168.49145 - 1308,72 - Button.right
168.62991 - 1318,61 - Button.right
169.19555 - 1177,223 - Button.right
169.32392 - 1177,223 - Button.right
169.50726 - 1208,0 - Button.right
169.55791 - 1209,0 - Button.right
169.76064 - 1242,150 - Button.right
169.85641 - 1246,149 - Button.right
170.68458 - 1400,300 - Button.right
170.78901 - 1403,303 - Button.right
171.31151 - 1373,806 - Button.right
171.42657 - 1294,779 - Button.right
171.51892 - 1305,779 - Button.right
171.62205 - 1313,778 - Button.right
171.72604 - 1566,878 - Button.right
171.84863 - 1970,1239 - Button.right
172.71703 - 1131,606 - Button.right
172.83494 - 1128,642 - Button.right
172.93131 - 1145,673 - Button.right
173.04099 - 1143,674 - Button.right
173.63399 - 936,66 - Button.right
173.73300 - 928,53 - Button.right
173.82620 - 836,7 - Button.right
173.94605 - 611,0 - Button.right
174.75955 - 972,499 - Button.right
174.88216 - 951,508 - Button.right
174.96997 - 803,510 - Button.right
175.08965 - 657,596 - Button.right
175.17099 - 622,603 - Button.right
175.28637 - 473,692 - Button.right
175.70908 - 686,892 - Button.right
175.82393 - 585,944 - Button.right
175.94320 - 583,948 - Button.right
176.05812 - 576,950 - Button.right
176.38786 - 739,580 - Button.right
176.51162 - 673,662 - Button.right
176.58701 - 612,755 - Button.right
176.73202 - 589,837 - Button.right
176.95414 - 777,644 - Button.right
177.09103 - 761,686 - Button.right
177.14935 - 758,686 - Button.right
177.26135 - 757,697 - Button.right
177.36491 - 846,621 - Button.right
177.47437 - 924,569 - Button.right
177.57014 - 1177,416 - Button.right
177.69332 - 1180,404 - Button.right
177.77541 - 1241,337 - Button.right
177.90982 - 1256,317 - Button.right
177.99044 - 1269,280 - Button.right
178.13205 - 1274,287 - Button.right
178.52397 - 1139,376 - Button.right
178.63607 - 1001,606 - Button.right
178.74144 - 1009,614 - Button.right
178.85026 - 974,640 - Button.right
178.94354 - 933,631 - Button.right
179.03720 - 936,622 - Button.right
179.11915 - 943,608 - Button.right
179.24466 - 948,612 - Button.right
179.33568 - 944,622 - Button.right
179.46635 - 947,629 - Button.right
180.92676 - 1115,219 - Button.right
181.03855 - 1114,219 - Button.right
181.12111 - 1091,224 - Button.right
181.23813 - 1089,209 - Button.right
181.90258 - 947,1091 - Button.left
181.97974 - 943,1089 - Button.left
182.13460 - 1230,769 - Button.right
182.22729 - 1241,756 - Button.right
182.31258 - 1244,764 - Button.right
182.41910 - 1200,800 - Button.right
182.85209 - 736,878 - Button.right
182.94880 - 733,877 - Button.right
183.06632 - 645,728 - Button.right
183.16677 - 610,716 - Button.right
183.27528 - 549,642 - Button.right
183.37544 - 526,667 - Button.right
183.51399 - 582,789 - Button.right
183.56726 - 590,792 - Button.right
183.73022 - 525,641 - Button.right
183.86046 - 462,681 - Button.right
183.95541 - 512,684 - Button.right
184.04486 - 512,667 - Button.right
184.13318 - 601,599 - Button.right
184.22934 - 626,584 - Button.right
184.32834 - 782,519 - Button.right
184.43928 - 825,483 - Button.right
184.51625 - 943,447 - Button.right
184.63795 - 982,539 - Button.right
184.74042 - 1033,536 - Button.right
184.85649 - 973,536 - Button.right
184.98250 - 885,152 - Button.right
185.09574 - 894,219 - Button.right
185.17062 - 898,222 - Button.right
185.29127 - 901,256 - Button.right
185.42436 - 904,451 - Button.right
185.53528 - 864,578 - Button.right
185.62431 - 868,597 - Button.right
185.73225 - 813,683 - Button.right
185.87074 - 790,623 - Button.right
185.92407 - 795,614 - Button.right
186.43617 - 1085,408 - Button.right
186.54730 - 1085,408 - Button.right
186.64039 - 1089,411 - Button.right
186.77116 - 1115,373 - Button.right
187.41172 - 855,245 - Button.right
187.54141 - 834,251 - Button.right
187.60898 - 824,247 - Button.right
187.71475 - 823,259 - Button.right
188.09277 - 991,117 - Button.right
188.20093 - 991,160 - Button.right
189.48507 - 1471,307 - Button.right
189.60237 - 1467,317 - Button.right
190.04913 - 1105,373 - Button.right
190.15607 - 1047,397 - Button.right
190.87243 - 590,768 - Button.right
190.96721 - 590,764 - Button.right
191.08170 - 663,645 - Button.right
191.17788 - 668,634 - Button.right
191.27439 - 751,623 - Button.right
191.38124 - 745,615 - Button.right
193.34246 - 1097,562 - Button.right
193.43644 - 1096,563 - Button.right
193.76339 - 1236,497 - Button.right
193.84834 - 1236,496 - Button.right
193.96351 - 1324,515 - Button.right
194.06801 - 1329,535 - Button.right
194.91244 - 1048,781 - Button.right
195.00030 - 1099,776 - Button.right
195.11709 - 1329,788 - Button.right
195.21957 - 1340,790 - Button.right
195.71045 - 1385,674 - Button.right
195.84521 - 1395,654 - Button.right
195.94445 - 1394,659 - Button.right
196.04942 - 1395,659 - Button.right
197.19043 - 1240,626 - Button.right
197.27709 - 1243,633 - Button.right
197.38041 - 1282,657 - Button.right
197.49158 - 1373,733 - Button.right
198.04209 - 1518,830 - Button.right
198.15241 - 1519,827 - Button.right
198.24317 - 1605,832 - Button.right
198.36094 - 1606,832 - Button.right
198.44210 - 1630,837 - Button.right
198.55745 - 1632,836 - Button.right
198.64701 - 1651,825 - Button.right
198.76406 - 1651,825 - Button.right
198.86443 - 1656,801 - Button.right
198.99029 - 1655,800 - Button.right
199.10849 - 1642,787 - Button.right
199.21138 - 1547,749 - Button.right
199.35497 - 1353,598 - Button.right
199.46621 - 1114,346 - Button.right
199.54021 - 1167,304 - Button.right
199.64983 - 1211,306 - Button.right
199.73661 - 1239,318 - Button.right
199.84317 - 1238,317 - Button.right
199.95053 - 1255,268 - Button.right
200.08947 - 1257,217 - Button.right
200.46315 - 1225,121 - Button.right
200.59424 - 1225,121 - Button.right
201.45497 - 1001,916 - Button.right
201.57670 - 1000,916 - Button.right
201.64236 - 984,922 - Button.right
201.77013 - 984,921 - Button.right
201.84676 - 986,918 - Button.right
201.97150 - 988,916 - Button.right
202.04952 - 1015,905 - Button.right
202.17255 - 1021,904 - Button.right
202.27058 - 1025,884 - Button.right
202.39371 - 1031,853 - Button.right
202.58730 - 1175,213 - Button.right
202.71042 - 1185,168 - Button.right
202.80501 - 1200,93 - Button.right
202.91807 - 1211,86 - Button.right
204.32581 - 1138,646 - Button.right
204.44481 - 1137,644 - Button.right
204.52017 - 1134,592 - Button.right
204.64609 - 1134,591 - Button.right
204.88263 - 1298,11 - Button.right
205.00577 - 1270,78 - Button.right
205.08738 - 1396,59 - Button.right
205.19970 - 1391,88 - Button.right
205.27163 - 1393,96 - Button.right
205.38802 - 1393,113 - Button.right
205.46871 - 1394,88 - Button.right
205.59789 - 1393,85 - Button.right
206.59461 - 980,807 - Button.right
206.72867 - 982,869 - Button.right
206.81091 - 991,875 - Button.right
206.93478 - 995,876 - Button.right
207.01614 - 1006,878 - Button.right
207.13939 - 1010,879 - Button.right
207.20977 - 1015,885 - Button.right
207.32564 - 1017,906 - Button.right
207.39854 - 1017,910 - Button.right
207.51710 - 1018,910 - Button.right
208.16464 - 1571,73 - Button.right
208.28662 - 1549,119 - Button.right
209.51586 - 1359,339 - Button.right
209.63141 - 1326,345 - Button.right
209.72784 - 1310,358 - Button.right
209.83051 - 1313,357 - Button.right
210.18447 - 1270,701 - Button.right
210.33059 - 1146,862 - Button.right
210.41266 - 1124,953 - Button.right
210.54660 - 1144,969 - Button.right
210.62044 - 1157,996 - Button.right
210.75273 - 1160,994 - Button.right
210.83852 - 1161,1001 - Button.right
210.96515 - 1163,1003 - Button.right
211.05325 - 1161,1012 - Button.right
211.16581 - 1177,1017 - Button.right
211.69065 - 1412,217 - Button.right
211.81424 - 1428,162 - Button.right
211.91270 - 1469,154 - Button.right
212.01586 - 1475,155 - Button.right
212.15345 - 1493,232 - Button.right
212.23081 - 1491,232 - Button.right
212.42218 - 1239,35 - Button.right
212.54269 - 1091,101 - Button.right
212.63020 - 1038,173 - Button.right
212.74345 - 1021,257 - Button.right
212.84201 - 974,477 - Button.right
212.96089 - 948,609 - Button.right
213.06277 - 932,660 - Button.right
213.14260 - 917,673 - Button.right
213.27171 - 894,623 - Button.right
213.38923 - 817,737 - Button.right
213.47708 - 832,825 - Button.right
213.55215 - 852,851 - Button.right
213.70079 - 1289,464 - Button.right
213.82641 - 1409,403 - Button.right
213.89107 - 1406,406 - Button.right
214.00925 - 1408,372 - Button.right
214.12243 - 1426,333 - Button.right
214.20875 - 1426,333 - Button.right
214.35606 - 1420,234 - Button.right
214.47843 - 1416,270 - Button.right
214.60577 - 1391,268 - Button.right
214.73580 - 1169,578 - Button.right
214.82090 - 1122,727 - Button.right
214.96129 - 1089,781 - Button.right
215.02884 - 1090,848 - Button.right
215.16818 - 1060,878 - Button.right
215.23282 - 1047,878 - Button.right
215.35893 - 1050,877 - Button.right
215.42490 - 1056,909 - Button.right
215.54277 - 1031,942 - Button.right
215.61982 - 1064,954 - Button.right
215.73862 - 1069,948 - Button.right
215.79722 - 1028,926 - Button.right
215.92359 - 1032,926 - Button.right
215.99060 - 1044,917 - Button.right
216.25828 - 1050,917 - Button.right
216.34936 - 1091,862 - Button.right
216.46065 - 1091,862 - Button.right
216.53528 - 1077,852 - Button.right
216.64021 - 1061,857 - Button.right
216.71318 - 1060,858 - Button.right
216.80497 - 1064,847 - Button.right
216.94345 - 1300,551 - Button.right
217.05537 - 1342,405 - Button.right
217.13796 - 1502,200 - Button.right
217.25342 - 1501,192 - Button.right
217.32702 - 1587,69 - Button.right
217.44238 - 1653,62 - Button.right
218.07140 - 1642,409 - Button.right
218.17682 - 1498,532 - Button.right
218.26729 - 1459,515 - Button.right
218.37734 - 1451,496 - Button.right
218.69542 - 1424,466 - Button.right
218.79188 - 1366,484 - Button.right
219.15085 - 1247,391 - Button.right
219.25045 - 1181,415 - Button.right
221.27311 - 975,382 - Button.right
221.36099 - 972,385 - Button.right
