379.20600-732,413-516
379.42300-718,418-516
379.95200-565,784-513
380.51700-966,252-516
380.70700-969,262-516
380.94600-987,312-516
381.16700-1011,325-516
381.58300-898,365-516
381.78900-804,401-516
382.26500-999,399-516
382.45300-913,360-516
383.38900-946,920-513
383.81300-744,595-516
384.01800-727,591-516
385.00500-673,519-516
385.18500-611,513-516
385.62300-652,399-516
385.82200-722,392-516
386.63500-931,440-516
386.84000-879,370-516
387.05000-823,296-516
387.26500-702,255-516
387.51100-667,236-516
388.07100-511,369-516
388.30700-507,401-516
388.85800-706,312-516
389.05400-765,287-516
389.27100-768,280-516
389.84700-832,316-516
390.07500-692,235-516
390.30500-643,254-516
390.51400-628,250-516
391.27400-591,201-516
391.51200-594,202-516
391.71000-646,207-516
391.91600-648,224-516
392.12500-659,255-516
392.35100-650,278-516
392.55800-749,213-516
392.78300-702,194-516
393.03300-700,300-516
393.24400-718,424-516
393.80700-327,731-513
394.21900-829,82-516
396.04600-688,212-516
397.17500-741,179-516
397.33800-845,117-516
397.55500-852,92-516
398.94100-735,100-516
399.24500-683,133-516
399.45300-617,170-516
399.91600-601,159-516
400.54100-790,72-516
400.77000-829,65-516
401.15500-802,191-516
401.39100-628,440-516
401.60000-655,475-516
402.40200-1005,268-516
402.65800-788,413-516
402.87600-724,429-516
403.40000-790,253-516
403.61500-869,260-516
403.84500-839,288-516
404.45500-703,279-516
404.70100-746,263-516
405.25700-765,344-516
405.50800-732,420-516
406.31000-628,250-516
406.50300-634,297-516
406.70900-632,319-516
407.49200-717,268-516
407.67200-767,264-516
407.88500-797,249-516
408.16800-861,237-516
408.38600-869,234-516
408.98000-1084,330-516
409.17200-1136,342-516
409.77800-1324,739-513
410.59900-1015,121-516
411.21400-788,165-516
412.26800-729,275-516
413.17000-642,464-516
414.50900-547,388-516
414.69100-475,444-516
415.78400-408,614-516
416.30900-358,681-516
416.72900-395,430-516
416.91600-407,336-516
417.12900-436,262-516
417.36200-506,227-516
417.57300-568,205-516
418.21800-628,298-516
418.55900-640,440-516
418.77800-639,448-516
419.30100-632,449-516
419.51100-550,504-516
420.30300-509,587-516
