116.92408 - 981,508 - Button.right
117.04453 - 921,545 - Button.right
117.14478 - 891,582 - Button.right
117.25136 - 875,607 - Button.right
118.27568 - 950,415 - Button.right
118.37714 - 1000,430 - Button.right
118.45613 - 975,432 - Button.right
118.57901 - 821,621 - Button.right
118.66931 - 771,693 - Button.right
118.75915 - 746,728 - Button.right
118.93908 - 1133,542 - Button.right
119.04447 - 1182,642 - Button.right
119.14116 - 1175,697 - Button.right
119.22322 - 1180,701 - Button.right
119.33671 - 1254,727 - Button.right
119.42403 - 1265,731 - Button.right
119.55217 - 1352,617 - Button.right
119.64472 - 1352,616 - Button.right
119.73713 - 1411,550 - Button.right
119.84861 - 1414,547 - Button.right
119.94110 - 1431,533 - Button.right
120.04454 - 1444,535 - Button.right
120.52098 - 1199,638 - Button.right
120.61626 - 1199,638 - Button.right
120.94816 - 1382,364 - Button.right
121.04665 - 1369,379 - Button.right
121.13824 - 1375,388 - Button.right
121.24409 - 1373,416 - Button.right
121.34119 - 1380,339 - Button.right
121.46073 - 1375,351 - Button.right
121.56622 - 1375,318 - Button.right
121.63374 - 1375,317 - Button.right
122.12026 - 1681,245 - Button.right
122.23754 - 1684,245 - Button.right
122.79224 - 1687,500 - Button.right
122.84423 - 1684,513 - Button.right
123.49775 - 1164,828 - Button.right
123.59805 - 1161,838 - Button.right
125.04385 - 1457,451 - Button.right
125.13258 - 1517,392 - Button.right
125.22018 - 1686,243 - Button.right
125.31932 - 1661,224 - Button.right
125.38824 - 1689,145 - Button.right
125.49723 - 1728,144 - Button.right
125.93941 - 1754,174 - Button.right
126.03132 - 1739,193 - Button.right
126.97421 - 1561,290 - Button.right
127.05731 - 1561,285 - Button.right
127.70832 - 1509,253 - Button.right
127.80128 - 1511,247 - Button.right
128.93828 - 1327,235 - Button.right
129.02830 - 1326,235 - Button.right
129.13731 - 1314,246 - Button.right
129.22011 - 1320,246 - Button.right
129.34433 - 1349,217 - Button.right
129.42816 - 1356,219 - Button.right
129.54900 - 1315,322 - Button.right
129.63229 - 1262,367 - Button.right
129.73859 - 1174,425 - Button.right
129.83448 - 1141,467 - Button.right
129.93131 - 1092,523 - Button.right
130.02443 - 1050,566 - Button.right
130.13191 - 1041,591 - Button.right
130.23337 - 979,630 - Button.right
130.32235 - 887,669 - Button.right
130.41959 - 889,673 - Button.right
130.51831 - 888,672 - Button.right
130.60181 - 891,670 - Button.right
130.67997 - 921,657 - Button.right
130.77808 - 894,674 - Button.right
130.85830 - 869,682 - Button.right
130.95342 - 727,811 - Button.right
131.03770 - 712,802 - Button.right
131.15077 - 698,841 - Button.right
131.24139 - 685,836 - Button.right
131.33773 - 682,838 - Button.right
131.43666 - 655,849 - Button.right
131.56335 - 651,856 - Button.right
131.66066 - 594,891 - Button.right
131.75924 - 508,977 - Button.right
131.83033 - 431,1022 - Button.right
131.93625 - 378,1097 - Button.right
