54.28907 - 674,822 - Button.right
54.38524 - 663,826 - Button.right
54.48961 - 610,860 - Button.right
54.58852 - 604,863 - Button.right
54.69100 - 573,871 - Button.right
54.83576 - 563,877 - Button.right
54.92447 - 558,877 - Button.right
55.48221 - 1011,664 - Button.right
55.57531 - 1099,648 - Button.right
55.65754 - 1145,652 - Button.right
55.76332 - 1160,666 - Button.right
55.86893 - 1167,658 - Button.right
55.95456 - 1170,647 - Button.right
56.11721 - 1398,441 - Button.right
56.22455 - 1412,430 - Button.right
56.33221 - 1410,405 - Button.right
56.43532 - 1412,401 - Button.right
56.68194 - 1496,308 - Button.right
56.77933 - 1496,307 - Button.right
57.42637 - 1586,137 - Button.right
57.52459 - 1585,136 - Button.right
58.04373 - 1345,118 - Button.right
58.12585 - 1310,97 - Button.right
58.23705 - 1118,0 - Button.right
58.28590 - 870,0 - Button.right
58.55038 - 917,243 - Button.right
58.65805 - 909,242 - Button.right
58.76129 - 849,238 - Button.right
58.86581 - 848,238 - Button.right
58.97287 - 830,236 - Button.right
59.08240 - 784,232 - Button.right
59.19538 - 713,230 - Button.right
59.29299 - 664,227 - Button.right
59.41246 - 652,234 - Button.right
59.52342 - 656,236 - Button.right
59.65936 - 659,248 - Button.right
59.78953 - 657,262 - Button.right
60.62097 - 1199,404 - Button.right
60.73712 - 1276,598 - Button.right
60.84053 - 1409,624 - Button.right
60.92340 - 1424,622 - Button.right
61.02537 - 1574,566 - Button.right
61.12332 - 1592,572 - Button.right
61.98543 - 1724,284 - Button.right
62.08946 - 1696,373 - Button.right
62.17759 - 1667,474 - Button.right
62.28777 - 1656,544 - Button.right
62.38756 - 1677,578 - Button.right
62.48573 - 1716,614 - Button.right
62.81079 - 1611,783 - Button.right
62.92554 - 1590,784 - Button.right
63.01596 - 1448,831 - Button.right
63.12790 - 1475,883 - Button.right
63.21586 - 1585,885 - Button.right
63.32652 - 1599,912 - Button.right
63.44616 - 1669,862 - Button.right
63.56446 - 1751,803 - Button.right
63.65993 - 1797,736 - Button.right
63.77252 - 1793,753 - Button.right
63.88515 - 1827,740 - Button.right
64.01339 - 1772,755 - Button.right
64.11039 - 1675,799 - Button.right
64.23792 - 1499,897 - Button.right
64.31364 - 1476,911 - Button.right
64.44324 - 1414,970 - Button.right
64.56591 - 1405,973 - Button.right
64.67897 - 1399,975 - Button.right
65.04423 - 1159,641 - Button.right
65.15865 - 1125,617 - Button.right
65.23248 - 1106,595 - Button.right
65.36956 - 1102,617 - Button.right
65.45296 - 1107,635 - Button.right
65.56360 - 1103,634 - Button.right
65.62885 - 1094,624 - Button.right
65.94462 - 1107,627 - Button.right
66.01138 - 1128,601 - Button.right
66.13857 - 1105,604 - Button.right
66.21335 - 1092,580 - Button.right
66.33826 - 1089,579 - Button.right
66.42156 - 1083,579 - Button.right
66.54754 - 1069,574 - Button.right
66.62942 - 1020,537 - Button.right
66.75464 - 1069,562 - Button.right
66.90149 - 1191,523 - Button.right
67.01681 - 1219,524 - Button.right
67.11554 - 1289,503 - Button.right
67.23351 - 1300,505 - Button.right
67.30690 - 1303,504 - Button.right
67.44423 - 1298,526 - Button.right
68.04914 - 1266,557 - Button.right
68.15635 - 1259,563 - Button.right
68.24746 - 1245,591 - Button.right
68.35420 - 1246,594 - Button.right
68.45335 - 1225,620 - Button.right
68.56161 - 1192,648 - Button.right
68.65710 - 1228,644 - Button.right
68.77272 - 1210,647 - Button.right
68.88725 - 1203,620 - Button.right
68.99684 - 1203,619 - Button.right
69.08621 - 1245,580 - Button.right
69.20111 - 1216,586 - Button.right
69.28857 - 1217,586 - Button.right
69.40952 - 1216,586 - Button.right
69.99339 - 1059,649 - Button.right
70.10556 - 1024,699 - Button.right
70.19856 - 1017,697 - Button.right
70.32846 - 978,724 - Button.right
70.41966 - 982,735 - Button.right
70.54349 - 949,760 - Button.right
70.63264 - 908,787 - Button.right
70.74522 - 876,807 - Button.right
70.82834 - 890,806 - Button.right
70.96042 - 889,805 - Button.right
71.04130 - 907,798 - Button.right
71.15261 - 922,801 - Button.right
71.24961 - 950,789 - Button.right
71.36416 - 959,786 - Button.right
71.52420 - 1328,563 - Button.right
71.64980 - 1526,580 - Button.right
71.74466 - 1535,583 - Button.right
71.85330 - 1552,580 - Button.right
71.95121 - 1562,568 - Button.right
72.07905 - 1570,567 - Button.right
72.24167 - 1670,662 - Button.right
72.36696 - 1611,729 - Button.right
72.68347 - 1496,448 - Button.right
72.81967 - 1169,488 - Button.right
72.90657 - 1152,555 - Button.right
73.01786 - 1030,620 - Button.right
73.11107 - 997,610 - Button.right
73.22870 - 987,627 - Button.right
73.33315 - 988,624 - Button.right
73.47363 - 990,624 - Button.right
73.55140 - 1016,611 - Button.right
73.66862 - 1084,589 - Button.right
73.89372 - 1582,405 - Button.right
74.02751 - 1606,386 - Button.right
74.11275 - 1644,361 - Button.right
74.23856 - 1644,365 - Button.right
74.89456 - 1209,496 - Button.right
75.01478 - 1171,532 - Button.right
75.10616 - 1150,549 - Button.right
75.22720 - 1119,576 - Button.right
75.55928 - 1623,528 - Button.right
75.66806 - 1619,549 - Button.right
75.78597 - 1637,577 - Button.right
75.89210 - 1579,625 - Button.right
76.68955 - 873,638 - Button.right
76.78909 - 905,608 - Button.right
76.88826 - 939,607 - Button.right
76.98240 - 935,607 - Button.right
77.98394 - 1208,612 - Button.right
78.08444 - 1207,611 - Button.right
78.17884 - 1107,671 - Button.right
78.27975 - 943,754 - Button.right
78.39767 - 848,786 - Button.right
78.50177 - 830,921 - Button.right
79.10018 - 743,1037 - Button.right
79.29141 - 447,1010 - Button.right
79.39035 - 402,904 - Button.right
79.52578 - 390,897 - Button.right
79.59955 - 416,890 - Button.right
79.69160 - 416,889 - Button.right
79.80347 - 410,872 - Button.right
79.90651 - 392,859 - Button.right
81.00686 - 1291,501 - Button.left
81.50382 - 1024,640 - Button.left
82.48522 - 660,719 - Button.right
82.56464 - 660,719 - Button.right
82.69573 - 677,729 - Button.right
82.81747 - 676,728 - Button.right
82.98481 - 676,729 - Button.right
83.09582 - 676,729 - Button.right
84.64986 - 1464,343 - Button.right
84.73720 - 1472,338 - Button.right
84.83338 - 1599,237 - Button.right
84.93979 - 1605,238 - Button.right
85.62705 - 1621,279 - Button.right
85.73251 - 1633,274 - Button.right
86.45992 - 1516,254 - Button.right
86.56240 - 1520,254 - Button.right
86.68363 - 1519,259 - Button.right
86.79862 - 1522,259 - Button.right
87.86955 - 1664,341 - Button.right
87.96598 - 1664,341 - Button.right
88.07389 - 1785,344 - Button.right
88.13290 - 1848,257 - Button.right
88.60696 - 1353,401 - Button.right
88.71198 - 1361,412 - Button.right
88.81402 - 1384,455 - Button.right
88.92664 - 1403,460 - Button.right
89.37857 - 1390,343 - Button.right
89.46702 - 1379,423 - Button.right
89.56965 - 1416,519 - Button.right
89.68673 - 1418,519 - Button.right
90.99939 - 1461,275 - Button.right
91.10999 - 1448,318 - Button.right
91.22100 - 1467,377 - Button.right
91.30174 - 1353,412 - Button.right
91.40920 - 1296,421 - Button.right
91.51102 - 986,546 - Button.right
91.60398 - 986,580 - Button.right
91.71151 - 972,602 - Button.right
91.82364 - 943,591 - Button.right
91.91765 - 943,590 - Button.right
92.01840 - 960,580 - Button.right
92.10970 - 948,582 - Button.right
92.20226 - 939,578 - Button.right
92.30037 - 895,631 - Button.right
92.40291 - 894,632 - Button.right
92.51702 - 878,649 - Button.right
92.60466 - 865,650 - Button.right
92.72928 - 839,663 - Button.right
92.82465 - 835,663 - Button.right
92.94921 - 835,663 - Button.right
93.01930 - 831,661 - Button.right
93.18611 - 816,701 - Button.right
93.22717 - 816,701 - Button.right
93.37117 - 815,701 - Button.right
93.47119 - 798,700 - Button.right
93.58773 - 803,699 - Button.right
93.69577 - 810,686 - Button.right
93.81912 - 816,676 - Button.right
93.89617 - 811,673 - Button.right
94.01978 - 814,673 - Button.right
94.11033 - 812,673 - Button.right
94.23854 - 814,673 - Button.right
94.30841 - 814,673 - Button.right
94.42910 - 818,677 - Button.right
94.52202 - 820,681 - Button.right
94.63510 - 828,684 - Button.right
94.73462 - 835,687 - Button.right
94.85423 - 837,688 - Button.right
94.94816 - 854,678 - Button.right
95.06924 - 853,678 - Button.right
95.17556 - 854,664 - Button.right
95.31179 - 860,669 - Button.right
95.38694 - 853,675 - Button.right
95.53118 - 815,722 - Button.right
95.64044 - 804,722 - Button.right
95.73547 - 787,719 - Button.right
96.03855 - 749,671 - Button.right
96.14275 - 752,672 - Button.right
96.24500 - 752,680 - Button.right
96.35313 - 761,683 - Button.right
96.44411 - 758,690 - Button.right
96.57710 - 743,700 - Button.right
96.68013 - 738,700 - Button.right
96.79421 - 745,701 - Button.right
96.88812 - 753,714 - Button.right
97.00611 - 761,715 - Button.right
97.10110 - 763,715 - Button.right
97.21767 - 772,715 - Button.right
97.31811 - 760,732 - Button.right
97.45209 - 768,738 - Button.right
97.80569 - 851,656 - Button.right
97.92642 - 845,658 - Button.right
98.04623 - 807,652 - Button.right
98.17686 - 807,650 - Button.right
98.29180 - 799,642 - Button.right
98.40316 - 802,643 - Button.right
98.50717 - 790,649 - Button.right
98.63017 - 790,656 - Button.right
98.71041 - 790,656 - Button.right
98.83530 - 792,657 - Button.right
98.92051 - 788,656 - Button.right
99.03588 - 790,657 - Button.right
99.13135 - 790,658 - Button.right
99.26270 - 793,658 - Button.right
99.94462 - 846,553 - Button.right
100.06348 - 846,553 - Button.right
100.16849 - 869,526 - Button.right
100.24779 - 878,524 - Button.right
100.42484 - 1279,484 - Button.right
100.52465 - 1358,467 - Button.right
100.63591 - 1383,454 - Button.right
100.73210 - 1382,449 - Button.right
100.82464 - 1382,435 - Button.right
100.93614 - 1381,438 - Button.right
101.04668 - 1381,439 - Button.right
101.15677 - 1372,442 - Button.right
101.97631 - 790,1087 - Button.left
102.06773 - 789,1087 - Button.left
105.41023 - 698,1104 - Button.right
105.50216 - 643,1124 - Button.right
105.61643 - 618,1022 - Button.right
105.69231 - 595,1005 - Button.right
106.10732 - 1052,522 - Button.right
106.21055 - 1053,521 - Button.right
106.29776 - 1045,523 - Button.right
106.41388 - 922,590 - Button.right
107.21595 - 1420,622 - Button.right
107.33429 - 1407,633 - Button.right
107.43234 - 1368,617 - Button.right
107.54944 - 1361,621 - Button.right
107.67989 - 1494,572 - Button.right
107.79037 - 1560,430 - Button.right
107.90910 - 1559,363 - Button.right
108.01136 - 1559,362 - Button.right
108.16778 - 1539,362 - Button.right
108.26651 - 1357,382 - Button.right
108.93729 - 1291,292 - Button.right
109.04343 - 1290,286 - Button.right
109.15728 - 1287,287 - Button.right
109.27869 - 1273,287 - Button.right
109.78955 - 1217,297 - Button.right
109.88800 - 1217,295 - Button.right
110.03103 - 1224,297 - Button.right
110.13134 - 1233,295 - Button.right
110.25033 - 1439,322 - Button.right
110.34924 - 1454,343 - Button.right
110.46943 - 1543,304 - Button.right
110.58331 - 1541,285 - Button.right
111.05038 - 1239,147 - Button.right
111.13543 - 1231,151 - Button.right
111.25122 - 1204,161 - Button.right
111.34545 - 1186,167 - Button.right
111.50738 - 1178,199 - Button.right
111.59545 - 1181,207 - Button.right
111.74040 - 1327,352 - Button.right
111.83899 - 1289,455 - Button.right
111.96642 - 1303,533 - Button.right
112.07748 - 1324,539 - Button.right
112.62436 - 1276,651 - Button.right
112.73425 - 1260,747 - Button.right
112.82062 - 1165,790 - Button.right
112.93042 - 1007,906 - Button.right
113.03338 - 988,934 - Button.right
113.14234 - 938,966 - Button.right
113.30302 - 989,922 - Button.right
113.43661 - 988,922 - Button.right
113.54953 - 867,909 - Button.right
113.62146 - 677,886 - Button.right
113.70343 - 500,684 - Button.right
113.80657 - 414,742 - Button.right
113.92072 - 535,661 - Button.right
114.00435 - 742,705 - Button.right
114.10347 - 1540,378 - Button.right
114.22278 - 1464,427 - Button.right
115.07046 - 1252,311 - Button.right
115.14921 - 1255,302 - Button.right
115.29813 - 1292,290 - Button.right
115.38342 - 1291,290 - Button.right
115.55719 - 1292,283 - Button.right
115.65309 - 1289,277 - Button.right
116.01402 - 1409,298 - Button.right
116.07511 - 1411,298 - Button.right
116.22945 - 1381,278 - Button.right
116.30908 - 1178,247 - Button.right
116.44092 - 1249,329 - Button.right
116.52801 - 1255,415 - Button.right
116.63504 - 1237,537 - Button.right
116.73293 - 1155,605 - Button.right
116.85702 - 1137,599 - Button.right
116.94950 - 1089,605 - Button.right
117.06634 - 663,561 - Button.right
117.17745 - 585,587 - Button.right
117.25458 - 629,559 - Button.right
117.33816 - 657,566 - Button.right
117.47242 - 1131,404 - Button.right
117.56858 - 1134,424 - Button.right
117.70453 - 1065,467 - Button.right
117.81029 - 1065,468 - Button.right
117.93555 - 758,570 - Button.right
118.03981 - 678,607 - Button.right
118.13751 - 674,562 - Button.right
118.23669 - 675,561 - Button.right
118.32533 - 710,524 - Button.right
118.43589 - 714,527 - Button.right
118.56552 - 1140,396 - Button.right
118.68448 - 1280,357 - Button.right
118.77402 - 1399,298 - Button.right
118.89549 - 1469,296 - Button.right
119.92029 - 1657,180 - Button.right
120.01841 - 1667,183 - Button.right
120.16683 - 1609,146 - Button.right
120.26614 - 1618,124 - Button.right
120.80525 - 1555,230 - Button.right
120.88810 - 1501,279 - Button.right
120.99000 - 1496,488 - Button.right
121.08608 - 1432,589 - Button.right
121.18154 - 1353,644 - Button.right
121.27409 - 1209,739 - Button.right
