476.47900-1213,397-516
476.69100-1220,419-516
476.88800-1222,424-516
477.06700-1215,410-516
477.25400-1247,389-516
477.46100-1240,358-516
477.67200-1244,357-516
478.13700-1272,342-516
478.33300-1272,342-516
478.57300-1271,342-516
478.80900-1268,342-516
479.05800-1267,342-516
480.21500-1237,445-516
480.42900-1230,452-516
480.64400-1080,526-516
480.88900-1074,515-516
481.07500-1041,487-516
481.29100-1021,468-516
481.50200-992,459-516
481.70500-979,447-516
482.43100-953,408-516
483.02600-1076,767-513
483.64900-886,269-516
483.81900-903,268-516
484.01900-908,264-516
484.31700-972,286-516
484.50400-907,458-516
484.99400-879,296-516
485.20800-981,285-516
485.46900-1025,377-516
485.67400-1014,326-516
485.92000-966,314-516
486.11600-919,325-516
486.39500-951,344-516
487.14700-898,930-513
487.37700-1207,424-516
487.56800-1252,412-516
487.74900-1308,435-516
488.35300-1416,444-516
488.54800-1343,351-516
489.00800-1314,294-516
489.23000-1309,286-516
489.46000-1328,296-516
489.87000-1372,293-516
490.09300-1333,228-516
490.39100-1327,129-516
490.77300-1314,183-516
491.15900-1251,240-516
491.38000-1286,229-516
491.58300-1320,293-516
491.81900-1333,343-516
492.07100-1337,351-516
492.26300-1352,329-516
492.50100-1379,324-516
492.79900-1355,305-516
493.01500-1385,363-516
493.28500-1393,380-516
493.51900-1331,383-516
493.75200-1277,389-516
493.99200-1284,377-516
494.21900-1296,321-516
494.44900-1244,249-516
494.68000-1203,234-516
494.91700-1136,212-516
495.12400-1092,216-516
495.33700-1068,222-516
495.54200-1277,224-516
495.78300-1274,287-516
496.03200-1282,312-516
496.26100-1300,319-516
496.48700-1321,322-516
496.72300-1361,359-516
496.92600-1405,394-516
497.17000-1416,448-516
497.39400-1382,443-516
497.59800-1342,450-516
497.79100-1325,386-516
498.00500-1233,463-516
498.21900-1276,314-516
498.44600-1226,310-516
498.68400-1210,301-516
498.89500-1171,269-516
499.12000-1145,271-516
499.35100-1132,292-516
499.57800-1173,366-516
500.00300-1050,277-516
500.22600-1021,266-516
500.43800-1005,279-516
500.75800-1253,480-516
500.96500-1226,491-516
501.15400-1229,519-516
501.58600-1092,643-513
502.27700-1249,348-516
502.44800-1352,430-516
502.64700-1334,434-516
502.86200-1263,535-516
503.04600-1261,585-516
503.22900-1255,613-516
503.43800-1230,639-516
503.62500-1226,612-516
503.82100-1248,579-516
503.99700-1251,549-516
504.23100-1245,568-516
504.42500-1259,478-516
504.63700-1253,431-516
504.88400-1218,411-516
505.10300-1196,314-516
505.36100-1203,195-516
505.61700-1188,164-516
505.86000-1121,211-516
506.08500-1109,197-516
506.31100-1028,279-516
506.53200-977,297-516
506.77000-982,315-516
506.96900-1011,312-516
507.19400-1014,275-516
507.41400-989,270-516
507.60100-1008,221-516
507.90800-1053,158-513
508.66600-918,155-516
508.86200-906,157-516
509.10300-1008,176-516
509.31100-1004,182-516
509.52500-1063,220-516
509.73300-1077,217-516
509.95100-1207,227-516
510.15700-1244,232-516
510.37000-1310,246-516
510.60700-1316,255-516
510.84000-1330,259-516
511.07100-1370,315-516
511.56800-1374,317-516
511.81600-1360,306-516
512.06300-1225,229-516
512.32200-1166,260-516
512.56800-1068,281-516
512.79900-1021,332-516
513.04900-1028,416-516
513.35300-1159,447-516
513.60500-1196,407-516
513.86500-1232,375-516
514.08200-1241,374-516
514.34000-1306,360-516
514.60600-1256,258-516
514.87800-1183,198-516
515.19700-1151,131-516
515.50400-1168,273-516
515.70200-1337,216-516
515.91100-1351,231-516
516.14400-1289,206-516
516.40200-1166,193-516
516.64400-1127,176-516
517.24300-1209,238-516
517.44600-1242,260-516
517.69700-1241,261-516
518.24900-1227,267-516
518.83300-1244,309-516
519.02800-1204,326-516
519.24100-1175,327-516
519.91200-1113,281-516
520.12100-1108,243-516
520.35300-1061,245-516
