195.56935 - 147,1206 - Button.right
195.69349 - 71,1279 - Button.right
195.98112 - 471,872 - Button.right
196.09111 - 491,871 - Button.right
196.20232 - 551,937 - Button.right
196.31068 - 593,941 - Button.right
197.27416 - 561,583 - Button.right
197.34615 - 536,632 - Button.right
197.45087 - 443,740 - Button.right
197.56077 - 446,762 - Button.right
197.71422 - 389,752 - Button.right
197.82469 - 379,757 - Button.right
198.59308 - 647,800 - Button.right
198.70871 - 628,851 - Button.right
198.80949 - 552,947 - Button.right
198.93459 - 516,982 - Button.right
199.30555 - 856,956 - Button.right
199.39915 - 938,909 - Button.right
199.48878 - 1244,757 - Button.right
199.60570 - 1254,744 - Button.right
201.06831 - 1423,500 - Button.right
201.17269 - 1100,738 - Button.right
201.25227 - 889,799 - Button.right
201.34629 - 686,837 - Button.right
201.43015 - 656,843 - Button.right
201.54265 - 597,873 - Button.right
201.61932 - 594,873 - Button.right
201.73109 - 524,916 - Button.right
201.81624 - 500,921 - Button.right
201.94275 - 482,930 - Button.right
202.03477 - 475,932 - Button.right
202.14127 - 461,933 - Button.right
202.25354 - 452,894 - Button.right
202.34443 - 438,886 - Button.right
202.44400 - 342,723 - Button.right
202.55691 - 328,734 - Button.right
202.65184 - 314,730 - Button.right
202.76779 - 276,744 - Button.right
202.86469 - 275,745 - Button.right
202.99189 - 231,790 - Button.right
203.08882 - 230,796 - Button.right
203.20129 - 170,855 - Button.right
203.30193 - 158,912 - Button.right
203.41730 - 144,942 - Button.right
203.51028 - 143,943 - Button.right
203.62254 - 56,1004 - Button.right
204.13397 - 757,716 - Button.right
204.22029 - 757,715 - Button.right
204.33449 - 877,680 - Button.right
204.43091 - 894,687 - Button.right
204.54032 - 983,703 - Button.right
204.64932 - 993,708 - Button.right
205.22828 - 546,830 - Button.right
205.32777 - 532,787 - Button.right
205.45004 - 693,681 - Button.right
205.53781 - 721,695 - Button.right
206.15015 - 1521,390 - Button.right
206.25801 - 1528,398 - Button.right
208.82039 - 1649,384 - Button.right
208.91898 - 1459,504 - Button.right
209.00140 - 1371,549 - Button.right
209.12458 - 856,803 - Button.right
209.18897 - 830,810 - Button.right
209.30331 - 742,828 - Button.right
209.39484 - 732,828 - Button.right
209.52114 - 731,828 - Button.right
209.61009 - 728,822 - Button.right
209.73098 - 729,832 - Button.right
209.82317 - 724,835 - Button.right
209.93803 - 695,842 - Button.right
210.35830 - 550,731 - Button.right
210.46365 - 307,981 - Button.right
210.54731 - 289,1003 - Button.right
210.64912 - 260,1023 - Button.right
210.74648 - 256,1033 - Button.right
210.86039 - 249,1038 - Button.right
