91.08982 - 1143,288 - Button.right
91.18833 - 1148,281 - Button.right
91.27375 - 1208,359 - Button.right
91.38783 - 1191,395 - Button.right
91.49030 - 1118,446 - Button.right
91.62589 - 756,700 - Button.right
91.72183 - 607,741 - Button.right
91.83566 - 539,772 - Button.right
91.91636 - 531,826 - Button.right
92.02756 - 400,1020 - Button.right
92.93498 - 839,650 - Button.right
93.05566 - 845,678 - Button.right
93.15301 - 1079,792 - Button.right
93.25196 - 1029,792 - Button.right
93.35293 - 1033,746 - Button.right
93.44645 - 1020,603 - Button.right
93.53738 - 1303,369 - Button.right
93.65618 - 1303,369 - Button.right
93.78090 - 1382,286 - Button.right
93.90153 - 1382,312 - Button.right
93.97304 - 1381,322 - Button.right
94.09085 - 1382,322 - Button.right
94.17088 - 1389,322 - Button.right
94.29428 - 1395,332 - Button.right
94.36268 - 1427,337 - Button.right
94.47481 - 1434,341 - Button.right
94.55782 - 1475,341 - Button.right
94.67933 - 1462,410 - Button.right
94.76670 - 1460,431 - Button.right
94.88286 - 1355,613 - Button.right
94.96578 - 1311,675 - Button.right
95.07994 - 1223,762 - Button.right
95.16235 - 1154,738 - Button.right
95.28424 - 1022,748 - Button.right
95.39490 - 978,707 - Button.right
95.49590 - 1016,707 - Button.right
95.61789 - 1042,555 - Button.right
95.73502 - 1073,460 - Button.right
95.82371 - 1134,396 - Button.right
95.93196 - 1156,396 - Button.right
96.03613 - 1190,420 - Button.right
96.13341 - 1130,422 - Button.right
96.20598 - 1121,421 - Button.right
96.32239 - 1121,420 - Button.right
96.39886 - 1125,420 - Button.right
96.51379 - 1124,420 - Button.right
96.60909 - 1146,425 - Button.right
96.72195 - 1149,425 - Button.right
96.83043 - 1156,428 - Button.right
96.92849 - 1160,428 - Button.right
97.04989 - 1217,422 - Button.right
97.15987 - 1260,411 - Button.right
97.25816 - 1366,434 - Button.right
97.37087 - 1315,444 - Button.right
97.46097 - 1097,625 - Button.right
97.59497 - 649,916 - Button.right
97.85615 - 602,974 - Button.right
97.95989 - 596,1007 - Button.right
98.33842 - 464,738 - Button.right
98.44494 - 452,762 - Button.right
98.55594 - 455,833 - Button.right
98.67497 - 459,845 - Button.right
99.38061 - 434,885 - Button.right
99.51831 - 63,1135 - Button.right
100.06872 - 1237,787 - Button.right
100.17152 - 1203,815 - Button.right
100.28980 - 1196,819 - Button.right
100.38073 - 1227,756 - Button.right
100.49403 - 1275,656 - Button.right
100.59045 - 1237,703 - Button.right
101.08185 - 1958,400 - Button.right
101.21392 - 1629,465 - Button.right
102.28199 - 1199,386 - Button.right
102.37097 - 828,468 - Button.right
102.47642 - 990,432 - Button.right
102.57676 - 1099,324 - Button.right
102.65551 - 1168,291 - Button.right
102.75796 - 1169,362 - Button.right
102.83903 - 1354,424 - Button.right
102.96651 - 1373,516 - Button.right
103.06147 - 1367,549 - Button.right
103.18474 - 1292,583 - Button.right
103.79716 - 792,693 - Button.right
